channelTitle,Video_ID,Product,Category,title,publishedAt,Comment_ID,Comment_Title,Comment_Creation_Time,Comment_Likes
Marques Brownlee,YmwskGLycHo,Phone,Apple,iPhone 15 Pro: 3 Months Later!,2023-12-28T19:52:58Z,UgwlUpINywHtXlvDW394AaABAg,"Loving the feedback! Also NOTE: Spatial video can be shot by iPhone 15 Pro/Pro Max only, not by the regular 15, I misspoke at 7:13 - Apple apparently didn't align the cameras for the regular 15.",2023-12-28T23:53:14Z,5053
Marques Brownlee,YmwskGLycHo,Phone,Apple,iPhone 15 Pro: 3 Months Later!,2023-12-28T19:52:58Z,UgzeNpqlP3X6bMyZhyt4AaABAg,"Whaaa I didn't expect to hear that this was shot on the 15 Pro, insane!",2023-12-28T21:51:26Z,14154
Marques Brownlee,YmwskGLycHo,Phone,Apple,iPhone 15 Pro: 3 Months Later!,2023-12-28T19:52:58Z,UgywxJdYFBJLUGegGZ94AaABAg,I think they should have the journal app on iPads and MacBooks. I wouldn't use the journal app because typing on your phone is not the best.,2023-12-31T11:33:13Z,1126
Marques Brownlee,YmwskGLycHo,Phone,Apple,iPhone 15 Pro: 3 Months Later!,2023-12-28T19:52:58Z,UgzsIv6Z55KZnVaTVKp4AaABAg,"The longer term reviews are awesome, I typically don’t buy until a few months later so it’s very helpful to have an actual real world use case. See what hype feature works and what might not. Cheers.",2023-12-30T11:55:29Z,423
Marques Brownlee,YmwskGLycHo,Phone,Apple,iPhone 15 Pro: 3 Months Later!,2023-12-28T19:52:58Z,Ugy0odq2fmtGLn3bV1l4AaABAg,"Upgraded from an iPhone 8 to iPhone 15 Pro this year. The difference is incredible and it's reassuring to hear that this was a good upgrade year haha. The camera is genuinely mind-blowing and that ending was brilliant. Also, for the action button, I have it mapped to turn on/off color filters so it's black and white -- helps me get off my phone when I know I'm wasting too much time on it lol",2024-01-23T15:59:34Z,145
Marques Brownlee,YmwskGLycHo,Phone,Apple,iPhone 15 Pro: 3 Months Later!,2023-12-28T19:52:58Z,UgwRXwNwzh8T0qbH_W14AaABAg,"I'd love more long term reviews like this! So many phones are good at first, but really don't seem to withstand the test of time!",2024-01-01T22:29:37Z,594
Marques Brownlee,YmwskGLycHo,Phone,Apple,iPhone 15 Pro: 3 Months Later!,2023-12-28T19:52:58Z,Ugzx5qKgJpBZIctv_yJ4AaABAg,"Not gonna lie, finding out this was shot on an iPhone 15 Pro was impressive. More so than Apple's $500,000+ of camera gear to get their shots hahaha. As always thanks for this video, I just got my 15 Pro Max today, so this was useful! Thank you and Happy New Years! Also welcome to the 30's club, I hit it last year :P",2024-01-05T00:49:01Z,260
Marques Brownlee,YmwskGLycHo,Phone,Apple,iPhone 15 Pro: 3 Months Later!,2023-12-28T19:52:58Z,Ugzuzlw0tPSCekcLB4B4AaABAg,"Favorite part of your videos is that you are un-bias even when you get these opportunities(Apple Park visit, etc). We all appreciate ya. You represent us all on some level. Have a spectacular New Year and hope you had a great Christmas",2023-12-30T03:22:52Z,150
Marques Brownlee,YmwskGLycHo,Phone,Apple,iPhone 15 Pro: 3 Months Later!,2023-12-28T19:52:58Z,UgzHMBjpF5c6PgbOnzN4AaABAg,"Love all your gadget reviews; keep up the GREAT work (videos, editing, comments, information, comparisons, etc.,).",2024-01-01T16:16:36Z,18
Marques Brownlee,YmwskGLycHo,Phone,Apple,iPhone 15 Pro: 3 Months Later!,2023-12-28T19:52:58Z,UgwvSe_8z8hpgGjGqvB4AaABAg,I just bought my 15 Pro Max a month ago after having the iPhone 11 for over 3 years. Man when I tell you this is such a welcomed upgrade! The titanium makes the natural color look and feel so premium and the battery life is out of this world! Definitely am more than satisfied and feel that I made the right choice in finally pulling the trigger and upgrading 🔥 btw congrats on the Porsche,2024-01-03T23:30:24Z,36
