,id,prod,cat,video_id,aspect,negative,neutral,positive
0,0,Earphone,Apple,f3DfJxvkN-8,features,0.04843981,0.23041463,0.72114563
0,0,Earphone,Apple,f3DfJxvkN-8,wireless,0.05517416,0.20998126,0.73484457
0,0,Earphone,Apple,f3DfJxvkN-8,sound quality,0.05081121,0.20304346,0.7461453
0,0,Earphone,Apple,f3DfJxvkN-8,comfort,0.047067396,0.1571892,0.79574347
0,0,Earphone,Apple,f3DfJxvkN-8,technology,0.04907447,0.19981003,0.7511155
0,0,Earphone,Apple,f3DfJxvkN-8,design,0.049867425,0.17208526,0.7780474
0,0,Earphone,Apple,f3DfJxvkN-8,noise cancellation,0.05078383,0.30512595,0.64409024
0,1,Earphone,Apple,f3DfJxvkN-8,features,0.04010082,0.18512194,0.7747773
0,1,Earphone,Apple,f3DfJxvkN-8,wireless,0.036458075,0.17664418,0.7868978
0,1,Earphone,Apple,f3DfJxvkN-8,sound quality,0.03403176,0.14592046,0.82004774
0,1,Earphone,Apple,f3DfJxvkN-8,comfort,0.034903385,0.15788831,0.8072083
0,1,Earphone,Apple,f3DfJxvkN-8,technology,0.040428434,0.18648507,0.77308655
0,1,Earphone,Apple,f3DfJxvkN-8,design,0.03723105,0.16687407,0.7958949
0,1,Earphone,Apple,f3DfJxvkN-8,noise cancellation,0.039348915,0.16074435,0.7999068
0,2,Earphone,Apple,f3DfJxvkN-8,features,0.039152335,0.049460538,0.91138715
0,2,Earphone,Apple,f3DfJxvkN-8,wireless,0.039132856,0.049256265,0.9116109
0,2,Earphone,Apple,f3DfJxvkN-8,sound quality,0.039749306,0.049535956,0.91071475
0,2,Earphone,Apple,f3DfJxvkN-8,comfort,0.038623393,0.048867807,0.91250885
0,2,Earphone,Apple,f3DfJxvkN-8,technology,0.03866865,0.048716243,0.91261506
0,2,Earphone,Apple,f3DfJxvkN-8,design,0.039146326,0.049758755,0.91109496
0,2,Earphone,Apple,f3DfJxvkN-8,noise cancellation,0.035783786,0.04477111,0.9194451
0,3,Earphone,Apple,f3DfJxvkN-8,features,0.34605852,0.08547246,0.56846905
0,3,Earphone,Apple,f3DfJxvkN-8,wireless,0.39013478,0.08372003,0.5261452
0,3,Earphone,Apple,f3DfJxvkN-8,sound quality,0.3825486,0.08197646,0.53547496
0,3,Earphone,Apple,f3DfJxvkN-8,comfort,0.37839326,0.08056827,0.5410384
0,3,Earphone,Apple,f3DfJxvkN-8,technology,0.377166,0.081591204,0.5412428
0,3,Earphone,Apple,f3DfJxvkN-8,design,0.41151518,0.08029352,0.50819135
0,3,Earphone,Apple,f3DfJxvkN-8,noise cancellation,0.32218224,0.07517607,0.60264176
