,id,prod,cat,video_id,aspect,negative,neutral,positive
0,0,VR,Apple,hOi8s2wkX4A,performance,0.66439617,0.07956275,0.25604114
0,0,VR,Apple,hOi8s2wkX4A,experience,0.6181105,0.07732137,0.30456814
0,0,VR,Apple,hOi8s2wkX4A,gaming,0.6118348,0.08718532,0.30097982
0,0,VR,Apple,hOi8s2wkX4A,mixed reality,0.641965,0.08228553,0.27574953
0,0,VR,Apple,hOi8s2wkX4A,Gyroscope,0.657557,0.08350632,0.2589366
0,0,VR,Apple,hOi8s2wkX4A,audio,0.65282124,0.07974917,0.2674296
0,0,VR,Apple,hOi8s2wkX4A,visual,0.6348159,0.08053446,0.2846496
0,0,VR,Apple,hOi8s2wkX4A,technology,0.654951,0.081175424,0.26387364
0,0,VR,Apple,hOi8s2wkX4A,specification,0.6535202,0.08233603,0.26414374
0,1,VR,Apple,hOi8s2wkX4A,performance,0.05581125,0.09333275,0.850856
0,1,VR,Apple,hOi8s2wkX4A,experience,0.053531606,0.10988488,0.83658344
0,1,VR,Apple,hOi8s2wkX4A,gaming,0.052920483,0.13034597,0.81673354
0,1,VR,Apple,hOi8s2wkX4A,mixed reality,0.053222626,0.11247698,0.83430046
0,1,VR,Apple,hOi8s2wkX4A,Gyroscope,0.056376725,0.111508615,0.8321147
0,1,VR,Apple,hOi8s2wkX4A,audio,0.04944747,0.10088022,0.84967226
0,1,VR,Apple,hOi8s2wkX4A,visual,0.052279856,0.10420093,0.8435192
0,1,VR,Apple,hOi8s2wkX4A,technology,0.050124746,0.0977086,0.8521666
0,1,VR,Apple,hOi8s2wkX4A,specification,0.050076295,0.09572133,0.85420233
0,2,VR,Apple,hOi8s2wkX4A,performance,0.073143974,0.10752254,0.81933343
0,2,VR,Apple,hOi8s2wkX4A,experience,0.080453284,0.12305617,0.79649055
0,2,VR,Apple,hOi8s2wkX4A,gaming,0.086948,0.16397487,0.74907714
0,2,VR,Apple,hOi8s2wkX4A,mixed reality,0.08334427,0.13204932,0.7846064
0,2,VR,Apple,hOi8s2wkX4A,Gyroscope,0.08440359,0.12726058,0.7883358
0,2,VR,Apple,hOi8s2wkX4A,audio,0.082800254,0.1304327,0.78676707
0,2,VR,Apple,hOi8s2wkX4A,visual,0.078100584,0.115712844,0.80618656
0,2,VR,Apple,hOi8s2wkX4A,technology,0.08195166,0.11828467,0.79976374
0,2,VR,Apple,hOi8s2wkX4A,specification,0.08012497,0.123736665,0.79613835
