prod,cat,video_id,aspect,negative,neutral,positive,channelTitle
Watch,Apple,oNCs4C2SMjo,features,0.008012799,0.70723224,0.284755,Marques Brownlee
Watch,Apple,oNCs4C2SMjo,features,0.008012799,0.70723224,0.284755,Marques Brownlee
Watch,Apple,oNCs4C2SMjo,features,0.008012799,0.70723224,0.284755,Marques Brownlee
Watch,Apple,oNCs4C2SMjo,features,0.008012799,0.70723224,0.284755,Marques Brownlee
Watch,Apple,oNCs4C2SMjo,features,0.008012799,0.70723224,0.284755,Marques Brownlee
Watch,Apple,oNCs4C2SMjo,features,0.008012799,0.70723224,0.284755,Marques Brownlee
Watch,Apple,oNCs4C2SMjo,features,0.008012799,0.70723224,0.284755,Marques Brownlee
Watch,Apple,oNCs4C2SMjo,features,0.008012799,0.70723224,0.284755,Marques Brownlee
Watch,Apple,oNCs4C2SMjo,features,0.008012799,0.70723224,0.284755,Marques Brownlee
Watch,Apple,oNCs4C2SMjo,features,0.008012799,0.70723224,0.284755,Marques Brownlee
Watch,Apple,oNCs4C2SMjo,features,0.008012799,0.70723224,0.284755,Marques Brownlee
Watch,Apple,oNCs4C2SMjo,features,0.008012799,0.70723224,0.284755,Marques Brownlee
Watch,Apple,oNCs4C2SMjo,features,0.008012799,0.70723224,0.284755,Marques Brownlee
Watch,Apple,oNCs4C2SMjo,features,0.008012799,0.70723224,0.284755,Marques Brownlee
Watch,Apple,oNCs4C2SMjo,features,0.008012799,0.70723224,0.284755,Marques Brownlee
Watch,Apple,oNCs4C2SMjo,features,0.008012799,0.70723224,0.284755,Marques Brownlee
Watch,Apple,oNCs4C2SMjo,features,0.008012799,0.70723224,0.284755,Marques Brownlee
Watch,Apple,oNCs4C2SMjo,features,0.008012799,0.70723224,0.284755,Marques Brownlee
Watch,Apple,oNCs4C2SMjo,features,0.008012799,0.70723224,0.284755,Marques Brownlee
Watch,Apple,oNCs4C2SMjo,features,0.008012799,0.70723224,0.284755,Marques Brownlee
Watch,Apple,CgJCxnRap00,features,0.05024046,0.9432412,0.006518274,Marques Brownlee
Watch,Apple,CgJCxnRap00,features,0.05024046,0.9432412,0.006518274,Marques Brownlee
Watch,Apple,CgJCxnRap00,features,0.05024046,0.9432412,0.006518274,Marques Brownlee
Watch,Apple,CgJCxnRap00,features,0.05024046,0.9432412,0.006518274,Marques Brownlee
Watch,Apple,CgJCxnRap00,features,0.05024046,0.9432412,0.006518274,Marques Brownlee
Watch,Apple,CgJCxnRap00,features,0.05024046,0.9432412,0.006518274,Marques Brownlee
Watch,Apple,CgJCxnRap00,features,0.05024046,0.9432412,0.006518274,Marques Brownlee
Watch,Apple,CgJCxnRap00,features,0.05024046,0.9432412,0.006518274,Marques Brownlee
Watch,Apple,CgJCxnRap00,features,0.05024046,0.9432412,0.006518274,Marques Brownlee
Watch,Apple,CgJCxnRap00,features,0.05024046,0.9432412,0.006518274,Marques Brownlee
Watch,Apple,CgJCxnRap00,features,0.05024046,0.9432412,0.006518274,Marques Brownlee
Watch,Apple,CgJCxnRap00,features,0.05024046,0.9432412,0.006518274,Marques Brownlee
Watch,Apple,CgJCxnRap00,features,0.05024046,0.9432412,0.006518274,Marques Brownlee
Watch,Apple,CgJCxnRap00,features,0.05024046,0.9432412,0.006518274,Marques Brownlee
Watch,Apple,CgJCxnRap00,features,0.05024046,0.9432412,0.006518274,Marques Brownlee
Watch,Apple,CgJCxnRap00,features,0.05024046,0.9432412,0.006518274,Marques Brownlee
Watch,Apple,CgJCxnRap00,features,0.05024046,0.9432412,0.006518274,Marques Brownlee
Watch,Apple,CgJCxnRap00,features,0.05024046,0.9432412,0.006518274,Marques Brownlee
Watch,Apple,CgJCxnRap00,features,0.05024046,0.9432412,0.006518274,Marques Brownlee
Watch,Apple,CgJCxnRap00,features,0.05024046,0.9432412,0.006518274,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.01497976,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.01497976,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.01497976,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.01497976,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.01497976,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.01497976,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.01497976,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.01497976,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.01497976,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.01497976,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.01497976,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.01497976,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.01497976,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.01497976,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.01497976,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.01497976,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.01497976,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.01497976,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.01497976,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.01497976,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.014979767,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.014979767,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.014979767,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.014979767,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.014979767,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.014979767,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.014979767,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.014979767,0.92257357,0.062446687,Marques Brownlee
Watch,Apple,HjEqOWjTkHE,features,0.014979767,0.92257357,0.062446687,Marques Brownlee
