prod,cat,video_id,aspect,negative,neutral,positive,channelTitle
Phone,Apple,YmwskGLycHo,features,0.032670982,0.94830334,0.019025594,Marques Brownlee
Phone,Apple,YmwskGLycHo,features,0.032670982,0.94830334,0.019025594,Marques Brownlee
Phone,Apple,YmwskGLycHo,features,0.032670982,0.94830334,0.019025594,Marques Brownlee
Phone,Apple,YmwskGLycHo,features,0.032670982,0.94830334,0.019025594,Marques Brownlee
Phone,Apple,YmwskGLycHo,features,0.032670982,0.94830334,0.019025594,Marques Brownlee
Phone,Apple,YmwskGLycHo,features,0.032670982,0.94830334,0.019025594,Marques Brownlee
Phone,Apple,YmwskGLycHo,features,0.032670982,0.94830334,0.019025594,Marques Brownlee
Phone,Apple,YmwskGLycHo,features,0.032670982,0.94830334,0.019025594,Marques Brownlee
Phone,Apple,YmwskGLycHo,features,0.032670982,0.94830334,0.019025594,Marques Brownlee
Phone,Apple,YmwskGLycHo,features,0.032670982,0.94830334,0.019025594,Marques Brownlee
Phone,Apple,YmwskGLycHo,features,0.032670982,0.94830334,0.019025594,Marques Brownlee
Phone,Apple,YmwskGLycHo,features,0.032670982,0.94830334,0.019025594,Marques Brownlee
Phone,Apple,YmwskGLycHo,features,0.032670982,0.94830334,0.019025594,Marques Brownlee
Phone,Apple,YmwskGLycHo,features,0.032670982,0.94830334,0.019025594,Marques Brownlee
Phone,Apple,YmwskGLycHo,features,0.032670982,0.94830334,0.019025594,Marques Brownlee
Phone,Apple,YmwskGLycHo,features,0.032670982,0.94830334,0.019025594,Marques Brownlee
Phone,Apple,YmwskGLycHo,features,0.032670982,0.94830334,0.019025594,Marques Brownlee
Phone,Apple,YmwskGLycHo,features,0.032670982,0.94830334,0.019025594,Marques Brownlee
Phone,Apple,YmwskGLycHo,features,0.032670982,0.94830334,0.019025594,Marques Brownlee
Phone,Apple,YmwskGLycHo,features,0.032670982,0.94830334,0.019025594,Marques Brownlee
Phone,Apple,0X0Jm8QValY,features,0.010062486,0.91701365,0.07292387,Marques Brownlee
Phone,Apple,0X0Jm8QValY,features,0.010062486,0.91701365,0.07292387,Marques Brownlee
Phone,Apple,0X0Jm8QValY,features,0.010062486,0.91701365,0.07292387,Marques Brownlee
Phone,Apple,0X0Jm8QValY,features,0.010062486,0.91701365,0.07292387,Marques Brownlee
