channel,video_id,prod,cat,transcript,start_time,end_time,duration
Marques Brownlee,YmwskGLycHo,Phone,Apple,"- So this here is my Titanium iPhone 15 Pro that I've been using with no case for 88 days, or about three months now. I wanna do more longer term reviews. Not that three months is a super long time to have a phone, but in the usual smartphone review space, at least, for me, it's one to two weeks with a phone before I'm summarizing everything from my experience and putting it into a review. And so the longer I use a phone, the more I'm able to actually uncover about it, especially about the way I use it. So as someone who carries two phones all the time and the iPhone typically is in my pocket for a long time, I have a lot more stuff for this iPhone. So first things first, I haven't put my phone in a case since the day I bought it. Sometimes I regret this, sometimes I don't. It's pretty rare that I actually drop my phone and this one also hasn't yet been dropped, but it does show some pretty normal signs of wear and tear. But it's nothing too concerning. Like, I always start to get some bigger cuts, like this, on my front display glass because of my refusal to put on a screen protector. And these here aren't any more or less than usual despite, you know, the fancy ceramic shield. But I do really like the switch to titanium for the frame and the side rails around this phone. It looks way better than the stainless steel. It's also lighter and I am also glad I went with this lighter color because this combo seems to show the fewest fingerprints. It looks the cleanest. Overall, though I feel like I'm happy with this spec that I went with. Now, long-term behavior, there are three really interesting things about this phone. Two of them, I feel like I'm using way less than I thought I would and one of them, I'm using basically exactly as much as I thought I would. So first of all, in the camera of the Pro iPhone, this was the first year Apple announced this sort of neat multiple focal lengths feature. So you can hit that 1x button three different times and get three different focal lengths, 24 millimeters, then 28 millimeters, then 35 millimeter focal lengths, all with the same quality. I pretty much never use this feature. I don't know if that means I'm, like, not a true smartphone photographer, but I always just frame things at 1x",0.0,621.843,125.32999999999997
Marques Brownlee,YmwskGLycHo,Phone,Apple,"and that seems to be the end of it for me. So I just don't use that feature, even though our testing does show that it works. But I still think the new button they added to iOS 17, where if you zoom in on a photo, a crop button appears and that actually crops the photo. That's significantly more useful of a feature for me and I actually think for a lot of other people. But then the action button is another one. So this is a pretty big headlining feature on this year's Pro iPhones, this rare ability to actually customize something on your iPhone. So I definitely feel like the UI that they built into the settings is still one of the weirdest most un-Apple-like stapled in pieces of UI I've ever seen them do. But hey, it works, it's great. You can map the button to basically almost anything you want. But a lot of people made a great observation about the placement of this button when the phone first launched, which is, like, the reason that mute switch that we used to have was so great, is 'cause it was sort of tucked up in the corner and out of the way. So you could just never even think about it. Just leave your phone on mute forever and be fine. But Apple is very stubborn about placing this action button in the exact same spot where the mute switch used to be, which does mean it's kind of out of the way. It's a little bit, annoyingly, not very reachable, especially when you use the phone with one hand. So when I first got the phone, I mean, I was going nuts with all the possibilities of the crazy things that I could think of to do with it. First thing I did was map it to Google Assistant, since I never use Siri, but having a quick toggle to the better assistant is hilarious and more useful to me. Then I later briefly switched it to toggle starting a new voice conversation with ChatGPT. So the ChatGPT chatbot has its own voice and you can have a voice conversation with it and it's really cool, but it isn't the most useful thing in the world. Like, it's cool that it can do complex math and reasoning and generate new things for you, but then it can't see your calendar or tell you the weather or do anything current events related. So that didn't last long. So then I switched to starting a new dialogue box for a new task in my to-do list app of choice, TickTick,",125.43,621.843,118.38000000000001
Marques Brownlee,YmwskGLycHo,Phone,Apple,"and this one's pretty cool. You hit the button and it literally opens a text box and you just start typing a new task. Really, really nice if you just happen to remember something somewhere. But I also totally still have the muscle memory to just go home and open the app whenever I need it. I also have a lock screen task to do that. So it was a little bit redundant for me. So I've ended up with my action button just being set to open the camera and that's the fastest, most convenient way to get to the camera for me. Yes, there is a lock screen shortcut also, but I just find that if I am doing something and I just need to quickly get a picture of something that's happening or something's about to go away, I don't wanna miss it. Like, I just have this muscle memory now to just hit that button and just take the photo. You can actually have it open to take a selfie or take some other types of photos or videos. I just have it open to viewfinder and I'm good. So then, of course, USB Type-C was the biggest headlining feature of this newest generation of iPhones, hilariously enough. Slow USB 2.0 speeds on the base iPhone 15, but then USB 3.2 speeds on the 15 Pro and Pro Max, which makes a pretty big difference when importing tons of ProRes footage, even if it isn't Thunderbolt speeds yet. First of all, thank you, Europe, it's about damn time. Even as someone who is a pretty heavy wireless charger user, I do have to say, it is much nicer. It's been great to just have one cable to charge almost everything from this iPhone to any Android phone to the iPad Pro to my laptop. But unfortunately, I have not been able to get rid of my lightning cable just yet because there are still other things in my ecosystem, in Apple's ecosystem, that haven't switched to USB-C quite yet. Mostly because AirPods Max is my headphones for traveling of choice and I still have to carry the lightning cable everywhere just to charge those. But there's also still the Magic keyboard and the Apple Magic Trackpad. I really don't know how long it's gonna take Apple to go through and also update all of these things to be USB Type-C, but I guess my lightning cables are sticking around a little while longer until they refresh all that stuff. The AirPods Max came out at the end of 2020,",243.81,621.843,123.42
Marques Brownlee,YmwskGLycHo,Phone,Apple,"so word on the street is they may be due for a refresh sometime soon, but we don't know. Definitely get subscribed to see the review of the new ones whenever they do come out, but as of right now, they're still lightning. So there have been several software updates to the iPhone 15 lineup since it came out. It launched on iOS 17, which made all types of headlines, but then we've already made it to iOS 17.2. The new Journal app is live now, which I have a few friends that use, but I don't use it. There's, of course, been a bunch of bug fixes and optimizations since we heard about, you know, the Instagram app and those random heat problems. Those seem to also be fixed and gone. And there's also a curious new little button in the camera app. So if you go to Settings and then Camera and then under Formats, there's a new toggle to be able to record spatial video for the Apple Vision Pro. So things seem to be lining up interestingly for the Vision Pro to actually launch sometime in January or February, which should be pretty cool. And if you remember watching that one demo of spatial videos on the Vision Pro, yes, you can record them on the headset, which looks hilarious, but you can also record them on an iPhone, specifically only on an iPhone 15 or 15 Pro so far because of the horizontal alignment of the main and ultra-wide cameras. So if you go into the camera app with that new check toggled, in video, there's a little headset icon, and if I select that, I'm now shooting that special spatial video, which means a few things. First of all, you must turn your iPhone sideways to landscape because your eyes are next to each other and not on top of each other. And it also will limit you to 1080p 30fps because it's actually processing two streams of video at once, one from the primary camera that you can see, but then the other one from the ultra-wide camera for your other eye. So you can go crazy right now and just go out and start shooting a bunch of spatial videos on your iPhone. But if you go watch them on your phone, they will look just like normal videos because it's only gonna play back the video from the main camera. If you wanna see and appreciate the spatialness of the video, you will need an Apple Vision Pro. Now, I've actually gotten to experience the App Vision Pro",367.23,621.843,121.67999999999999
Marques Brownlee,YmwskGLycHo,Phone,Apple,"a few more times since that initial preview video that I did from Apple Park, flex, I know. But what I've actually gotten to do with it is shoot a bunch of my own spatial videos and then watch them back on the headset. And the main thing I really learned is they look okay. I think the dramatic part is, like, when you get the subject within two, three, four feet of the camera, then it's, like, really dramatic, kind of like a 3D movie. Then you see things popping out at you. So Pro tip, if you're gonna take a bunch of spatial videos now, that's the sweet spot for it to actually be worth it. Oh, and also, another Pro tip, it took me months to learn this, but if you ever have anything happening on the Dynamic Island, you can swipe across it to hide it or change the view style, in case you're annoyed by, like, a train ticket or an Uber delivery that's taken up space up there or something you just don't wanna see up there anymore. So go ahead and swipe, the more you know. So clearly, you don't have to upgrade your phone every year or every two years or very often at all. But the more I use this phone, the 15 Pro, the more I'm confident that this is one of the good years to upgrade, from the updated cameras to the USB Type-C to the titanium. Like, there's the concept of an upgrade sweet spot, and I feel like this phone hit it, especially for people with much older iPhones. So I'll leave you with this. In the original iPhone 15 Pro Review, I compared this phone to the Porsche 911 in that the design doesn't really change a whole lot from generation to generation. They, instead, spend a really long time refining and honing in on a slightly better version of the same thing. So I just turned 30 recently. Still weird saying that out loud, but for my 30th birthday, I decided to take that plunge too. Yes, it is matte black, but I can now say that once you start living with a 911, you actually appreciate that strategy just a little bit more. It is not flashy, it's not dramatic, it's boring, it's predictable, it's familiar, confidence inspiring. Also, this entire video, every single shot was shot on an iPhone 15 Pro. Thanks for watching. Catch you guys on the next one, peace. (bright upbeat music)",488.91,621.843,132.93299999999996
Marques Brownlee,0X0Jm8QValY,Phone,Apple,"(upbeat music) - All right, so this is Apple's brand new, latest and greatest iPhone 15. And nothing inside is new or anything that we haven't seen before in some other phone somewhere. Now that doesn't mean it's not a good phone. You can actually be a really good phone and not really new, they aren't mutually exclusive. And it turns out, that is actually Apple's strategy with this phone. The more I use this phone, the more I see Apple's textbook, late mover advantage strategy coming into play here. They're gonna take something we've literally already seen before and then do it the Apple way. So on the outside, let's see, how would I describe this new phone's design? Kind of familiar, I don't know, somewhat reminiscent of the 14. How does Apple say it? - iPhone 15 has an all new design that's simply gorgeous. - All new? All new? Really? Okay, I mean, I don't know about all new but this phone definitely inherits the same looks and general design as last year again. But you know what's at least partially new is actually the way it feels in the hand. So I said this in the 15 Pro review, but they've done a good job softening the corners here. So it still looks boxy, still has aluminum rails, but it's more comfortable to hold, since these corners aren't as sharp, they're a little bit rounded off. And then, this is also the first glass-backed, non-Pro iPhone with a satin back, and I am loving the satin back, this is like a nice, soft touch, frosted glass back here. I know there's a super complicated process too to like get this single piece of glass on the back to be two different colors and two different thicknesses and all that, and I can totally respect it. But honestly, the colors, they are super weak. People were saying in the last video the the color grading must be off, it looks like it's white instead of blue. No, this blue phone really doesn't look that blue at all in almost any lighting, it's like 1% blue. But either way, you can say between the aluminum and the pale light colors, these are also probably the most fingerprint resistant iPhones in years. On the sides, same button placements, same speakers placements, same mute switch, no action button on this phone. Honestly, you could probably use an iPhone 14 case on the iPhone 15. But around the front, new screen, well, not new, again, but new to this iPhone, new screen. You now get the dynamic island on the non-Pro iPhones this year, which is very much doing the whole punch cutout the Apple way. So the notch is finally dead until maybe a new iPhone SE brings it back, it could happen. But also, slowly, app developers have been getting on board",1.156,621.843,161.81000000000003
Marques Brownlee,0X0Jm8QValY,Phone,Apple,"in useful ways over the past year. I already have a few favorites now, my airline app's giving me real-time flight info, my weather apps, Uber, et cetera. But while we're up here talking about the screen on this phone, it's also brighter, It's up to 2,000 knits now, which looks awesome outdoors. But also, it's 2023, and this is an $800 phone that still has a 60 hertz display. This is actually really fascinating to me. It's so odd. Like, on one hand, for most people buying this phone, it's totally fine. It literally doesn't have, it's a new baseline iPhone, have you talked to someone who buys a new baseline iPhone? They literally don't care. It doesn't matter, it's not something they pay attention to, you could ask them right now how many frames per second their phone is and they wouldn't have an answer, just doesn't matter. So just as long as it works and it's all relatively smooth like last year and the year before and the year before, it's totally a non-factor. I have actually literally handed 120 hertz phone to people next to a 60 hertz phone, and even side by side next to each other, they can't see the difference. Or if they do, it's just like, oh, that's a subtle thing that seems kind of neat but they'd be totally fine missing out on it. So with the target demographic of this phone, it's totally fine. But on the other hand, Apple, the richest technology company in the world, does stuff all the time that regular people will literally never notice, that are subtle improvements or changes here and there, all the time. Like, when they switched these baseline iPhones from LCD to OLED displays, do you think any of these people actually noticed that? Or what about going from the A15 Bionic last year to this A16 Bionic? Do you think people are actually noticing the differences here? Or what about when they just added 5G to the iPhone and most people didn't care? Like, making subtle improvements over time is what modern smartphones are all about these days. And I would actually argue that a higher refresh rate is more noticeable to more people than some of those other things. Like, I think you could today hand me, a professional, an unlabeled iPhone with an A15 Bionic and an A16 Bionic, and it would take me quite some time to find the real differences between them. And so, that combined with the fact that it's incredibly cheap and easy and reasonable to get to like at least a 90 hertz phone, isn't the new Moto G is like 90 hertz at $170 or something like that? Now I'm sure that's a horrible looking screen compared to this iPhone, it's 720P with the brightness of a box of crayons. But still they decided to add that to that phone because Motorola knew that enough people would notice it and feel that smoothness difference",175.32,621.843,157.40700000000007
Marques Brownlee,0X0Jm8QValY,Phone,Apple,"and it's a higher level of perceived performance. So it's just wild to me, knowing how easy it would be for Apple to make this even a 90 hertz display, but they just refuse to do it because they've attached the word Pro to that feature. It's promotion for the Pro phones. And it just strikes me as a tool just to sort of continue widening the gap as much as they can between the Pro iPhones and the non-Pro iPhones, and they're happy to do it, even if it makes this iPhone 15 the most expensive phone in the world with a 60 hertz display. Anyway, speaking of widening that gap, the Pro phones this year also got a brand new A17 Pro chip but this iPhone 15 gets last year's A16 Bionic from the 14 Pro. Honestly, the renaming of the Pro chip might be the most interesting part because it implies that it's definitely not going to trickle down to the baseline phone next year. But either way, this A16 bionic here is more than good enough in a phone of this price, as far as performance and handling everyday tasks and gaming and flying around iOS at 60 hertz. And the one thing you definitely can argue for 60 hertz would be battery life, because despite all the issues floating around, the battery life on these phones has been pretty good. So I don't know if you saw it, but Apple has officially now addressed the heat and battery issues that some people, including myself, have been reporting with these iPhones. So an iOS update is coming and it seems like some specific third party apps, like Instagram, were also having issues and those should be getting updates too. But on average, the battery life on my 15 has been better than my battery on the 15 Pro. And the 15 Plus looks to have the best battery life ever on any iPhone, which is really promising. So that combination of the A16 Bionic, which is not new, and 60 hertz screens, which are not new, are giving you great battery life. Also, USB-C is definitely not new but here it is alongside all the benefits that come with it, from using the same cable to charge everything, to plugging into more accessories, like monitors and keyboards and all kinds of other stuff. It is sad that the older chip does mean there's no USB 3 controller so there are no USB 3 data speeds, it's still slow, but honestly, unless you're using the Pro iPhone's camera features, there's almost nobody here buying this phone that's gonna actually need fast data transfer anyway so I guess you can give it a pass. And they managed to do it in the Apple way too. They color matched the inside of the USB-C port with the color of the phone, and they actually, I don't know if you've seen this, they print the model number inside the port. So Apple really loves hiding this in the most discreet way possible. You know, I should really gives some appreciation to some of the clever software features on the iPhone 15 because you could actually consider them new.",336.42,621.843,161.00999999999993
Marques Brownlee,0X0Jm8QValY,Phone,Apple,"So they added stuff like an ultra-wideband chip so you can find your phone more easily with an Apple Watch or be found on Find My Friends, that's new. They also added these clever audio effects and video effects at an OS level, so they work inside of any app. So you can be on a phone call or a video call or a Google Meet or Zoom or whatever, and flip on the background noise cancellation and it works really shockingly well, it's very, very good. So I'm on a phone call with myself, this is what it'll sound like to be in a room with the dishwasher running, the HVAC going, and the sink going right next to me, right next to the microphone. When I switch the mic from Standard mode to Voice Isolation mode, even though all the same noises are still happening, it does a much better job of just picking out specifically my voice, really smart and it's genuinely new. There's also some other not so new stuff, like they just now added downloadable offline areas to Apple Maps and interactable widgets, and they finally added an 80% battery charge limiter in the settings. So you can check out all this stuff, I did a full video on the iOS 17 update at the link below that like button, if you wanna watch that, you should definitely check it out after you watch this video. What I will say is one of the most liked features I talked about in that video is Standby mode. And on the Pro iPhone, when you put it on a charger, turn it sideways, it keeps the screen on which it can do because it goes to one Hertz, it's an LTPO display, and it's fine staying on like that. But on the non-Pro iPhone, which does not have LTPO, it's basically locked at I think either 30 or 60 hertz, either way it doesn't drop to one Hertz. So Apple just decides, we'll turn off the screen after a little bit, which kind of feels like it defeats the purpose of this feature, so then you have to nudge the table or or bump the stand to wake it up like an Apple Watch charger. Just a notable difference between the Pro and non-Pro iPhones. But last but not least, these new cameras are actually weird, but in a good way. So iPhone 15 has been upgraded to a new set of 12 megapixel ultra wide and the new 48 megapixel main camera. It's not the same sensor as the Pro, it's actually slightly smaller, but it has a larger max aperture of F1.6 to make up for it. And then, it's also doing a combo of binning and detailed transfer to give you this new 24 megapixel photo as a result by default. Now, if you were paying attention before, you'll remember that this new iPhone has the exact same chip as last year's Pro iPhone. Same processing cores, same image signal processor, same neural engine, same A16 Bionic, same everything. So why is this new 24 megapixel default only coming to the newest iPhone 15 and not last year's Pro? Like, I still have last year's Pro phone and I've updated it to the latest software",497.43,621.843,166.356
Marques Brownlee,0X0Jm8QValY,Phone,Apple,"and it does not get this feature, it's still shooting 12 megapixels. So honestly now my base iPhone 15's non-zoomed in photos are actually looking a little better, a little more detailed than last year's Pro phones. And then, there's the new auto-Portrait Mode detection feature, which is pretty sweet. Basically you don't have to switch to Portrait Mode to take a photo that captures all of the depth information that allows you to turn it into a Portrait Mode photo later. So as long as you're pointing the camera at a human subject or a cat or a dog as identified by the neural engine, or if you tap to focus, you automatically get this little F at the bottom corner of the screen, which means it's capturing the data needed for Portrait Mode, just in case. And so, then, later, if you decide, eh, I actually do want this to be a Portrait Mode shot, you go into your gallery and just make it a Portrait Mode photo, that you can even then go in and edit and play with. Some people have been describing it as being able to change the focus point later. It's not exactly doing that, you can't like save something that was out of focus by bringing it back. But basically, for the classic iPhone shot where it kind of looks like everything is in focus, then, yeah, you can play with Portrait Mode and get really good results. Last year's Pro iPhone has the same chip, also has a 48 megapixel main camera and has the same neural engine, doesn't get this feature, for some reason. Also kind of weird. So look, with these reviews, we always make a lot of judgements about what we think the typical iPhone buyer is, what they actually care about, what they'll notice, what they will appreciate about a new phone. And with this one, I do feel like they've stacked up enough of these subtle improvements, that even though it looks the same and there's not really that much that's actually new here, they've at least stacked enough things that it feels like an appreciably better phone. So my verdict is, if you have an iPhone 14, you don't have to upgrade, of course, even a 13 maybe. But if you have an older phone and you're looking to upgrade to a new iPhone, every year, I always get friends asking like, ""Oh, should I just get the older, like last year's iPhone to save some money?"" And no, I actually wouldn't, I would say just get the iPhone 15. There's enough new changes here, it's a better phone in every way and it's also USB. Like, you don't buy a base iPhone to get the bleeding edge of tech, you buy it just 'cause it works and it's fine and it's gonna be familiar and work for the next few years. And just knowing that you're gonna have it for the next few years, I would not recommend buying a Lightning iPhone as we just moved everything forward into the world of USB type C. Just get the new one, just grab the boring new iPhone with nothing that's actually that new. It's just gonna work. That's it, thanks for watching, catch you in the next one. Peace. (upbeat music)",667.08,621.843,161.909
